staid,n_reach,nse0,sigma,STAID,huc2,CLASS,AGGECOREGI,STATE,DRAIN_SQKM,STANAME
01054200,3,0.60102975,11.402123,01054200,01,Ref,NorthEast,ME,180.981,"Wild River at Gilead, Maine"
01162500,3,-0.99483633,1.4075826,01162500,01,Ref,NorthEast,MA,49.70559,"PRIEST BROOK NEAR WINCHENDON, MA"
01118000,5,0.88596904,4.8837867,01118000,01,Non-ref,NorthEast,RI,193.2111,"WOOD RIVER AT HOPE VALLEY, RI"
01102000,7,0.83264613,9.493092,01102000,01,Non-ref,NorthEast,MA,316.4265,"IPSWICH RIVER NEAR IPSWICH, MA"
01173000,9,0.76295435,5.386912,01173000,01,Non-ref,NorthEast,MA,248.9728,"WARE RIVER AT INTAKE WORKS NEAR BARRE, MA"
01104500,15,0.7869592,9.318885,01104500,01,Non-ref,NorthEast,MA,647.4123,"CHARLES RIVER AT WALTHAM, MA"
01099500,19,0.84722674,20.27524,01099500,01,Non-ref,NorthEast,MA,1035.51,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA"
01144000,33,0.80881417,48.991093,01144000,01,Ref,NorthEast,VT,1790.244,"WHITE RIVER AT WEST HARTFORD, VT"
01011000,75,0.93750775,81.626305,01011000,01,Non-ref,NorthEast,ME,3186.844,"Allagash River near Allagash, Maine"
01100000,263,0.912522,246.08109,01100000,01,Non-ref,NorthEast,MA,11983.35,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA"
01452500,3,0.13279516,1.7945762,01452500,02,Non-ref,EastHghlnds,PA,112.041,"Monocacy Creek at Bethlehem, PA"
01472157,3,0.75196195,4.2958155,01472157,02,Non-ref,SEPlains,PA,152.29,"French Creek near Phoenixville, PA"
01452000,3,0.7224294,6.514556,01452000,02,Non-ref,EastHghlnds,PA,196.5627,"Jordan Creek at Allentown, PA"
01379500,5,0.5952321,6.364233,01379500,02,Non-ref,SEPlains,NJ,256.0499,PASSAIC RIVER NEAR CHATHAM NJ
01582500,9,-1.1880355,4.575252,01582500,02,Non-ref,SEPlains,MD,413.7579,"GUNPOWDER FALLS AT GLENCOE, MD"
01465500,13,0.69558454,21.065083,01465500,02,Non-ref,SEPlains,PA,541.3914,"Neshaminy Creek near Langhorne, PA"
01555000,19,0.7094139,17.320457,01555000,02,Non-ref,EastHghlnds,PA,792.6156,"Penns Creek at Penns Creek, PA"
