staid,arm,n_reach,nse0,nse_star,gain,mult_n,mult_q
05465500,p21-conus,713,0.39816058,0.8908039,0.49264332,5.7861276,0.099999994
02404400,p21-conus,23,0.43559176,0.9213147,0.48572294000000005,6.6615396,0.510113
05458500,p21-conus,99,0.33129662,0.8161317,0.48483508000000003,5.509255,0.21783067
03371500,p21-conus,215,0.3683126,0.77768826,0.40937566000000003,4.913263,0.10932005
05464000,p21-conus,301,0.495386,0.86253786,0.36715186,5.215169,0.16071163
02349605,p21-conus,161,0.36599755,0.71323574,0.34723819,3.3311868,0.099999994
02215100,p21-conus,9,0.39699185,0.7308134,0.33382154999999997,6.3716493,0.5225701
05454500,p21-conus,185,0.4041133,0.73607665,0.33196335,4.797495,0.099999994
07346045,p21-conus,19,0.32451874,0.6470058,0.32248705999999994,5.8336062,0.34251055
05410490,p21-conus,45,0.6070975,0.9188246,0.31172710000000003,5.004853,0.3024392
