# DDR reference `_compute_zeta`, commit c2bd0f9 (src/ddr/routing/mmc.py)
# sha256(extracted function source) = 5a15fcd065c144bc4889f320fab597675345248d5a3e6472d367a73474df5068
# torch 2.10.0+cu130; ref_* columns are the reference's own
# unclamped depth and flux, evaluated in float32 and float64.
# ddrs_depth_lb = 0.01
# Regenerate: cd ~/projects/ddr && uv run python \
#   ~/projects/ddrs/scripts/export_ddr_leakance_reference.py
case,q_t,n,q_spatial,s0,p_spatial,length,K_D,d_gw,leakance_factor,ref_depth_f32,ref_zeta_f32,ref_depth_f64,ref_zeta_f64
q_1e-4_at_depth_floor,0.0001,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,4.417769611e-03,6.727972846e-08,4.41776975815241692e-03,6.72797344361730969e-08
q_1e-3,0.001,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,1.278620027e-02,3.312774766e-07,1.27862013578186537e-02,3.31277515856114594e-07
q_1e-2,0.01,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,3.700666875e-02,1.631171585e-06,3.70066694537418556e-02,1.63117160659887672e-06
q_1e-1,0.1,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,1.071071550e-01,8.031698599e-06,1.07107149788555220e-01,8.03169754306539072e-06
q_1e0,1.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,3.099966049e-01,3.954713975e-05,3.09996595347978243e-01,3.95471360354213641e-05
q_1e1,10.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,8.972125649e-01,1.947254204e-04,8.97212644693179850e-01,1.94725456258554921e-04
q_1e2,100.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,2.596772194e+00,9.588052635e-04,2.59677216420299706e+00,9.58805292022669249e-04
q_1e3,1000.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,7.515749454e+00,4.721044563e-03,7.51574970846013812e+00,4.72104472457892960e-03
q_1e4,10000.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,2.175257874e+01,2.324586920e-02,2.17525797830459773e+01,2.32458701228649180e-02
d_gw_-2_strongly_losing,10.0,0.035,0.5,0.001,21.0,1000.0,1e-07,-2.0,0.5,8.972125649e-01,6.287929718e-04,8.97212644693179850e-01,6.28793026327510588e-04
d_gw_0_losing,10.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,8.972125649e-01,1.947254204e-04,8.97212644693179850e-01,1.94725456258554921e-04
d_gw_0.5_weakly_losing,10.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.5,0.5,8.972125649e-01,8.620853623e-05,8.97212644693179850e-01,8.62085637413160106e-05
d_gw_2_gaining,10.0,0.035,0.5,0.001,21.0,1000.0,1e-07,2.0,0.5,8.972125649e-01,-2.393421310e-04,8.97212644693179850e-01,-2.39342113810400719e-04
d_gw_2_strongly_gaining_low_q,0.1,0.035,0.5,0.001,21.0,1000.0,1e-07,2.0,0.5,1.071071550e-01,-1.419433102e-04,1.07107149788555220e-01,-1.41943305226051444e-04
K_D_floor_1e-8,100.0,0.035,0.5,0.001,21.0,1000.0,1e-08,0.0,0.5,2.596772194e+00,9.588052490e-05,2.59677216420299706e+00,9.58805292022669385e-05
K_D_logmid_1e-7,100.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,2.596772194e+00,9.588052635e-04,2.59677216420299706e+00,9.58805292022669249e-04
K_D_ceiling_1e-6,100.0,0.035,0.5,0.001,21.0,1000.0,1e-06,0.0,0.5,2.596772194e+00,9.588052519e-03,2.59677216420299706e+00,9.58805292022669314e-03
factor_0_inactive,100.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,0.0,2.596772194e+00,0.000000000e+00,2.59677216420299706e+00,0.00000000000000000e+00
factor_1_full,100.0,0.035,0.5,0.001,21.0,1000.0,1e-07,0.0,1.0,2.596772194e+00,1.917610527e-03,2.59677216420299706e+00,1.91761058404533850e-03
q_spatial_0_rectangular,10.0,0.035,0.0,0.001,21.0,1000.0,1e-07,0.0,0.5,6.809405684e-01,3.404702875e-05,6.80940626306657970e-01,3.40470313153328963e-05
q_spatial_1_triangular,10.0,0.035,1.0,0.001,21.0,1000.0,1e-07,0.0,0.5,1.019951463e+00,1.092316117e-03,1.01995151417001972e+00,1.09231614582060176e-03
p_spatial_1,10.0,0.035,0.5,0.001,1.0,1000.0,1e-07,0.0,0.5,3.657213926e+00,3.496999561e-04,3.65721409043984114e+00,3.49699958561094731e-04
p_spatial_50,10.0,0.035,0.5,0.001,50.0,1000.0,1e-07,0.0,0.5,6.011881828e-01,1.648051111e-04,6.01188195435051975e-01,1.64805109903510655e-04
n_0.01_smooth,10.0,0.01,0.5,0.001,21.0,1000.0,1e-07,0.0,0.5,5.032537580e-01,8.180129953e-05,5.03253793704377395e-01,8.18013060749385993e-05
